player,minutes,goals,goals90,aerialsWon,aerials90,tackles,tackles90,seasonStarting
Jamie VardyLeicester,3034,23,0.682267633,54,1.601845748,2,0.05932762,2019
Danny IngsSouthampton,2815,22,0.703374778,45,1.438721137,9,0.287744227,2019
Pierre-Emerick AubameyangArsenal,3139,22,0.630774132,33,0.946161198,14,0.40140172,2019
Raheem SterlingManchester City,2661,20,0.67643743,22,0.744081172,15,0.507328072,2019
Mohamed SalahLiverpool,2888,19,0.592105263,15,0.467451524,8,0.249307479,2019
Harry KaneTottenham,2590,18,0.625482625,74,2.571428571,6,0.208494208,2019
Sadio ManéLiverpool,2756,18,0.587808418,41,1.338896952,13,0.424528302,2019
Anthony MartialManchester United,2640,17,0.579545455,20,0.681818182,5,0.170454545,2019
Marcus RashfordManchester United,2655,17,0.576271186,21,0.711864407,10,0.338983051,2019
Raúl JiménezWolverhampton Wanderers,3252,17,0.470479705,87,2.407749077,16,0.442804428,2019
Sergio AgüeroManchester City,1460,16,0.98630137,3,0.184931507,3,0.184931507,2019
Tammy AbrahamChelsea,2221,15,0.607834309,90,3.647005853,6,0.243133724,2019
Chris WoodBurnley,2446,14,0.515126738,120,4.415372036,4,0.147179068,2019
Gabriel JesusManchester City,2026,14,0.621915104,41,1.821322804,11,0.488647581,2019
Dominic Calvert-LewinEverton,2630,13,0.44486692,180,6.159695817,6,0.205323194,2019
Kevin De BruyneManchester City,2800,13,0.417857143,17,0.546428571,18,0.578571429,2019
RicharlisonEverton,3081,13,0.379746835,76,2.220058423,12,0.35053554,2019
Son Heung-MinTottenham,2487,11,0.398069964,7,0.25331725,19,0.687575392,2019
Riyad MahrezManchester City,1942,11,0.509783728,10,0.463439753,18,0.834191555,2019
Teemu PukkiNorwich,2894,11,0.342087077,5,0.155494126,6,0.186592951,2019
Alexandre LacazetteArsenal,1878,10,0.479233227,29,1.389776358,7,0.335463259,2019
Mason GreenwoodManchester United,1313,10,0.685453161,5,0.34272658,6,0.411271896,2019
Michail AntonioWest Ham,1773,10,0.507614213,91,4.61928934,9,0.456852792,2019
Neal MaupayBrighton,2770,10,0.324909747,26,0.844765343,4,0.129963899,2019
Troy DeeneyWatford,2234,10,0.402864816,198,7.976723366,11,0.443151298,2019
Christian PulisicChelsea,1727,9,0.469021424,20,1.042269832,6,0.31268095,2019
Jordan AyewCrystal Palace,3162,9,0.256166983,80,2.277039848,15,0.426944972,2019
Roberto FirminoLiverpool,3003,9,0.26973027,26,0.779220779,7,0.20979021,2019
WillianChelsea,2605,9,0.310940499,10,0.345489443,20,0.690978887,2019
Ayoze PérezLeicester,2020,8,0.356435644,25,1.113861386,14,0.623762376,2019
Bruno FernandesManchester United,1193,8,0.603520536,3,0.226320201,11,0.829840738,2019
Callum WilsonBournemouth,2911,8,0.247337685,65,2.009618688,4,0.123668842,2019
Dele AlliTottenham,1854,8,0.388349515,19,0.922330097,17,0.825242718,2019
Jack GrealishAston Villa,3234,8,0.222634508,22,0.612244898,21,0.584415584,2019
Jay RodriguezBurnley,2011,8,0.35803083,80,3.580308304,5,0.223769269,2019
Olivier GiroudChelsea,1000,8,0.72,50,4.5,2,0.18,2019
Diogo JotaWolverhampton Wanderers,2298,7,0.274151436,30,1.174934726,9,0.352480418,2019
Harry WilsonBournemouth,1654,7,0.3808948,6,0.326481258,11,0.598548972,2019
Mason MountChelsea,2875,7,0.219130435,10,0.313043478,16,0.500869565,2019
Sébastien HallerWest Ham,2263,7,0.278391516,218,8.669907203,8,0.318161732,2019
Ashley BarnesBurnley,1362,6,0.396475771,64,4.22907489,6,0.396475771,2019
Bernardo SilvaManchester City,2031,6,0.265878877,14,0.620384047,24,1.06351551,2019
David SilvaManchester City,1833,6,0.294599018,7,0.343698854,13,0.638297872,2019
Harvey BarnesLeicester,2094,6,0.257879656,28,1.203438395,8,0.343839542,2019
James MaddisonLeicester,2629,6,0.205401293,7,0.239634842,9,0.30810194,2019
Jonjo ShelveyNewcastle United,2124,6,0.254237288,17,0.720338983,23,0.974576271,2019
Joshua KingBournemouth,2020,6,0.267326733,59,2.628712871,8,0.356435644,2019
Lys MoussetSheffield United,1235,6,0.437246964,23,1.67611336,3,0.218623482,2019
TrézéguetAston Villa,1951,6,0.276781138,29,1.3377755,25,1.153254741,2019
Oliver McBurnieSheffield United,2121,6,0.254596888,200,8.486562942,15,0.636492221,2019
Todd CantwellNorwich,2504,6,0.215654952,20,0.71884984,18,0.646964856,2019
Andriy YarmolenkoWest Ham,990,5,0.454545455,4,0.363636364,6,0.545454545,2019
Ismaila SarrWatford,2030,5,0.221674877,19,0.842364532,18,0.798029557,2019
James Ward-ProwseSouthampton,3420,5,0.131578947,73,1.921052632,60,1.578947368,2019
John FleckSheffield United,2518,5,0.178713264,14,0.500397141,24,0.85782367,2019
John LundstramSheffield United,2456,5,0.183224756,24,0.879478827,33,1.209283388,2019
Kelechi IheanachoLeicester,963,5,0.46728972,3,0.280373832,3,0.280373832,2019
Leandro TrossardBrighton,2016,5,0.223214286,2,0.089285714,9,0.401785714,2019
Nicolas PépéArsenal,2016,5,0.223214286,21,0.9375,8,0.357142857,2019
Phil FodenManchester City,893,5,0.503919373,10,1.007838746,6,0.604703247,2019
Mohamed SalahLiverpool,3262,22,0.606989577,11,0.303494788,21,0.579399142,2018
Pierre-Emerick AubameyangArsenal,2733,22,0.724478595,32,1.053787047,21,0.69154775,2018
Sadio ManéLiverpool,3086,22,0.641607259,36,1.049902787,35,1.02073882,2018
Sergio AgüeroManchester City,2480,21,0.762096774,17,0.616935484,17,0.616935484,2018
Jamie VardyLeicester,2733,18,0.592755214,67,2.20636663,14,0.461031833,2018
Harry KaneTottenham,2427,17,0.630407911,49,1.817058096,10,0.370828183,2018
Raheem SterlingManchester City,2777,17,0.550954267,15,0.486136118,32,1.037090385,2018
Eden HazardChelsea,2926,16,0.49213944,20,0.615174299,14,0.43062201,2018
Callum WilsonBournemouth,2535,14,0.49704142,46,1.633136095,9,0.319526627,2018
Alexandre LacazetteArsenal,2507,13,0.466693259,47,1.687275628,35,1.256481851,2018
Glenn MurrayBrighton,2513,13,0.465578989,175,6.267409471,17,0.608834063,2018
Gylfi SigurdssonEverton,3134,13,0.373324825,19,0.54562859,56,1.608168475,2018
Paul PogbaManchester United,3012,13,0.388446215,59,1.762948207,47,1.40438247,2018
Raúl JiménezWolverhampton Wanderers,3125,13,0.3744,78,2.2464,30,0.864,2018
RicharlisonEverton,2679,13,0.436730123,70,2.35162374,48,1.612541993,2018
Ashley BarnesBurnley,2388,12,0.452261307,132,4.974874372,28,1.055276382,2018
Ayoze PérezNewcastle United,2928,12,0.368852459,26,0.799180328,59,1.81352459,2018
Son Heung-MinTottenham,2049,12,0.527086384,4,0.175695461,23,1.010248902,2018
Joshua KingBournemouth,2974,12,0.363147276,89,2.6933423,30,0.907868191,2018
Luka MilivojevicCrystal Palace,3420,12,0.315789474,54,1.421052632,90,2.368421053,2018
Roberto FirminoLiverpool,2620,12,0.41221374,30,1.030534351,30,1.030534351,2018
Romelu LukakuManchester United,2130,12,0.507042254,93,3.929577465,8,0.338028169,2018
Aleksandar MitrovicFulham,3282,11,0.301645338,239,6.55393053,19,0.521023766,2018
Salomón RondónNewcastle United,2609,11,0.37945573,146,5.036412419,8,0.275967804,2018
Anthony MartialManchester United,1624,10,0.554187192,18,0.997536946,9,0.498768473,2018
Chris WoodBurnley,2596,10,0.346687211,132,4.576271186,12,0.416024653,2018
Gerard DeulofeuWatford,2083,10,0.432069131,3,0.129620739,11,0.475276044,2018
Leroy SanéManchester City,1867,10,0.482056776,10,0.482056776,24,1.156936261,2018
Lucas MouraTottenham,2128,10,0.422932331,34,1.437969925,35,1.480263158,2018
Marcus RashfordManchester United,2345,10,0.383795309,29,1.113006397,24,0.921108742,2018
Marko ArnautovicWest Ham,2001,10,0.449775112,24,1.07946027,9,0.404797601,2018
Wilfried ZahaCrystal Palace,3041,10,0.295955278,9,0.26635975,39,1.154225584,2018
