team,activePlayers,totalSalary,averageSalary,seasonStarting,points
Manchester City F.C.,25,135177000,5407080,2017,100
Liverpool F.C.,25,115090000,4603600,2019,99
Manchester City F.C.,26,145206000,5584846.154,2018,98
Liverpool F.C.,26,122200000,4700000,2018,97
Manchester United F.C.,30,183455000,6115166.667,2017,81
Manchester City F.C.,25,146521000,5860840,2019,81
Tottenham Hotspur F.C.,29,131815200,4545351.724,2017,77
Liverpool F.C.,25,118130000,4725200,2017,75
Chelsea F.C.,28,132903000,4746535.714,2018,72
Tottenham Hotspur F.C.,23,86346000,3754173.913,2018,71
Chelsea F.C.,28,138700000,4953571.429,2017,70
Arsenal F.C.,28,128651273,4594688.321,2018,70
Manchester United F.C.,26,148980000,5730000,2018,66
Chelsea F.C.,29,121290000,4182413.793,2019,66
Manchester United F.C.,28,157595000,5628392.857,2019,66
Arsenal F.C.,31,133381273,4302621.71,2017,63
Leicester City,28,75469000,2695321.429,2019,62
Tottenham Hotspur F.C.,25,90138000,3605520,2019,59
Wolverhampton Wanderers F.C.,26,50045000,1924807.692,2019,59
Wolverhampton Wanderers F.C.,25,41033000,1641320,2018,57
Arsenal F.C.,25,111406273,4456250.92,2019,56
Burnley F.C.,22,35474000,1612454.545,2017,54
Everton F.C.,28,84112000,3004000,2018,54
Burnley F.C.,25,48604000,1944160,2019,54
Sheffield United F.C.,26,16572000,637384.6154,2019,54
Leicester City,28,79508000,2839571.429,2018,52
West Ham United F.C.,25,85020000,3400800,2018,52
Southampton F.C.,22,51456000,2338909.091,2019,52
Watford,23,46752000,2032695.652,2018,50
Everton F.C.,34,90547000,2663147.059,2017,49
Crystal Palace,25,69888000,2795520,2018,49
Everton F.C.,25,83376000,3335040,2019,49
Leicester City,27,79445000,2942407.407,2017,47
AFC Bournemouth,26,17940000,690000,2018,45
Newcastle United F.C.,24,46176000,1924000,2018,45
Crystal Palace,31,92550000,2985483.871,2017,44
Newcastle United F.C.,28,56686200,2024507.143,2017,44
Newcastle United F.C.,25,49361000,1974440,2019,44
Crystal Palace,25,75322000,3012880,2019,43
West Ham United F.C.,24,63600000,2650000,2017,42
Brighton & Hove Albion,29,41042666,1415264.345,2019,41
Brighton & Hove Albion,31,47101333,1519397.839,2017,40
Burnley F.C.,24,41880000,1745000,2018,40
Southampton F.C.,24,70096000,2920666.667,2018,39
West Ham United F.C.,27,72420000,2682222.222,2019,39
Southampton F.C.,24,50066000,2086083.333,2017,36
Brighton & Hove Albion,23,38860666,1689594.174,2018,36
Cardiff City F.C.,23,24085166,1047181.13,2018,34
AFC Bournemouth,29,36760000,1267586.207,2019,34
Watford,22,42744000,1942909.091,2019,34
Fulham F.C.,24,42398800,1766616.667,2018,26
Norwich City F.C.,26,13894000,534384.6154,2019,21
Huddersfield Town,25,31033600,1241344,2018,16
